month,sku_id,opening_stock,production_added,units_sold,closing_stock,inventory_value
2022-03,1,0.0,70.0,0.0,70.0,10010.0
2022-06,1,70.0,70.0,0.0,140.0,20020.0
2022-08,1,140.0,70.0,0.0,210.0,30030.0
2022-09,1,210.0,0.0,158.0,52.0,7436.0
2023-10,1,52.0,0.0,147.0,0.0,0.0
2024-02,1,0.0,70.0,0.0,0.0,0.0
2024-07,1,0.0,70.0,0.0,45.0,6435.0
2024-08,1,45.0,70.0,46.0,69.0,9867.0
2024-11,1,69.0,0.0,104.0,0.0,0.0
2024-12,1,0.0,70.0,0.0,35.0,5005.0
2022-03,2,0.0,70.0,0.0,70.0,10010.0
2022-06,2,70.0,70.0,0.0,140.0,20020.0
2022-08,2,140.0,70.0,0.0,210.0,30030.0
2022-09,2,210.0,0.0,111.0,99.0,14157.0
2023-10,2,99.0,0.0,98.0,1.0,143.0
2024-02,2,1.0,70.0,0.0,71.0,10153.0
2024-07,2,71.0,70.0,0.0,141.0,20163.0
2024-08,2,141.0,70.0,43.0,168.0,24024.0
2024-11,2,168.0,0.0,155.0,13.0,1859.0
2024-12,2,13.0,70.0,0.0,83.0,11869.0
2022-03,3,0.0,70.0,0.0,70.0,10010.0
2022-06,3,70.0,70.0,0.0,140.0,20020.0
2022-08,3,140.0,70.0,0.0,210.0,30030.0
2022-09,3,210.0,0.0,158.0,52.0,7436.0
2023-10,3,52.0,0.0,118.0,0.0,0.0
2024-02,3,0.0,70.0,0.0,4.0,572.0
2024-07,3,4.0,70.0,0.0,74.0,10582.0
2024-08,3,74.0,70.0,46.0,98.0,14014.0
2024-11,3,98.0,0.0,128.0,0.0,0.0
2024-12,3,0.0,70.0,0.0,40.0,5720.0
2022-03,4,0.0,70.0,0.0,70.0,10010.0
2022-06,4,70.0,70.0,0.0,140.0,20020.0
2022-08,4,140.0,70.0,0.0,210.0,30030.0
2022-09,4,210.0,0.0,95.0,115.0,16445.0
2023-10,4,115.0,0.0,122.0,0.0,0.0
2024-02,4,0.0,70.0,0.0,63.0,9009.0
2024-07,4,63.0,70.0,0.0,133.0,19019.0
2024-08,4,133.0,70.0,22.0,181.0,25883.0
2024-11,4,181.0,0.0,88.0,93.0,13299.0
2024-12,4,93.0,70.0,0.0,163.0,23309.0
2022-03,5,0.0,70.0,0.0,70.0,10010.0
2022-06,5,70.0,70.0,0.0,140.0,20020.0
2022-08,5,140.0,70.0,0.0,210.0,30030.0
2022-09,5,210.0,0.0,112.0,98.0,14014.0
2023-10,5,98.0,0.0,159.0,0.0,0.0
2024-02,5,0.0,70.0,0.0,9.0,1287.0
2024-07,5,9.0,70.0,0.0,79.0,11297.0
2024-08,5,79.0,70.0,21.0,128.0,18304.0
2024-11,5,128.0,0.0,148.0,0.0,0.0
2024-12,5,0.0,70.0,0.0,50.0,7150.0
2022-03,6,0.0,70.0,0.0,70.0,10010.0
2022-06,6,70.0,70.0,0.0,140.0,20020.0
2022-08,6,140.0,70.0,0.0,210.0,30030.0
2022-09,6,210.0,0.0,128.0,82.0,11726.0
2023-10,6,82.0,0.0,95.0,0.0,0.0
2024-02,6,0.0,70.0,0.0,57.0,8151.0
2024-07,6,57.0,70.0,0.0,127.0,18161.0
2024-08,6,127.0,70.0,30.0,167.0,23881.0
2024-11,6,167.0,0.0,155.0,12.0,1716.0
2024-12,6,12.0,70.0,0.0,82.0,11726.0
2022-03,7,0.0,70.0,0.0,70.0,10010.0
2022-06,7,70.0,70.0,0.0,140.0,20020.0
2022-08,7,140.0,70.0,0.0,210.0,30030.0
2022-09,7,210.0,0.0,80.0,130.0,18590.0
2023-10,7,130.0,0.0,157.0,0.0,0.0
2024-02,7,0.0,70.0,0.0,43.0,6149.0
2024-07,7,43.0,70.0,0.0,113.0,16159.0
2024-08,7,113.0,70.0,500.0,0.0,0.0
