order_id,sku_id,quantity
1,7030,141
1,7031,137
1,7032,151
2,4203,114
2,4204,136
2,4205,90
3,4414,80
3,4415,132
3,4416,103
3,4417,148
3,4418,109
3,4419,108
3,4420,114
3,4421,124
3,4422,127
3,4423,141
5,9091,134
5,9092,102
5,9093,104
5,9094,96
5,9095,137
5,9096,143
5,9097,84
5,9098,87
5,9099,112
5,9100,122
6,11242,147
6,11243,125
6,11244,154
6,11245,140
6,11246,107
6,11247,87
6,11248,96
6,11249,139
6,11250,108
6,11251,96
7,10523,124
7,10524,137
7,10525,82
8,1411,100
8,1412,112
8,1413,85
8,1414,99
8,1415,122
8,1416,123
8,1417,123
8,1418,117
8,1419,132
8,1420,146
9,265,108
9,266,154
9,267,137
10,6190,138
10,6191,84
10,6192,117
11,10098,500
11,10099,46
11,10100,50
12,3757,148
12,3758,88
12,3759,126
12,3760,154
12,3761,133
12,3762,116
12,3763,131
12,3764,138
12,3765,109
12,3766,147
13,1820,123
13,1821,128
13,1822,157
14,11020,37
14,11021,52
14,11022,36
14,11023,47
14,11024,51
14,11025,34
14,11026,500
14,11027,33
14,11028,31
14,11029,31
16,5905,89
16,5906,100
16,5907,116
16,5908,149
16,5909,157
16,5910,122
16,5911,125
16,5912,148
16,5913,139
16,5914,136
17,7613,47
17,7614,30
17,7615,35
17,7616,59
17,7617,36
17,7618,500
17,7619,40
17,7620,57
17,7621,57
17,7622,37
18,10697,133
18,10698,115
18,10699,84
19,11337,83
19,11338,151
19,11339,156
19,11340,121
19,11341,106
19,11342,87
19,11343,90
19,11344,96
19,11345,86
19,11346,108
20,5012,111
20,5013,153
20,5014,145
21,6761,500
21,6762,27
21,6763,35
22,7986,144
22,7987,143
22,7988,91
22,7989,128
22,7990,98
22,7991,149
22,7992,108
22,7993,111
22,7994,125
22,7995,134
23,5990,86
23,5991,121
23,5992,150
24,4203,89
24,4204,84
24,4205,149
25,11555,94
25,11556,126
25,11557,107
26,931,115
26,932,105
26,933,121
28,249,82
28,250,96
28,251,137
29,4872,145
29,4873,138
29,4874,89
30,10883,128
30,10884,126
30,10885,157
30,10886,135
30,10887,159
30,10888,127
30,10889,139
30,10890,154
30,10891,117
30,10892,125
31,11356,123
31,11357,152
31,11358,123
31,11359,158
31,11360,152
31,11361,127
31,11362,127
31,11363,83
31,11364,123
31,11365,121
32,9579,110
32,9580,160
32,9581,129
32,9582,97
32,9583,152
32,9584,160
32,9585,90
32,9586,136
32,9587,94
32,9588,118
33,10805,116
33,10806,89
33,10807,151
34,10703,124
34,10704,100
34,10705,120
35,4075,43
35,4076,500
35,4077,29
36,4133,87
36,4134,138
36,4135,147
36,4136,144
36,4137,100
36,4138,89
36,4139,130
36,4140,120
36,4141,92
36,4142,88
37,8854,103
37,8855,91
37,8856,118
37,8857,127
37,8858,142
37,8859,117
37,8860,117
37,8861,120
37,8862,99
37,8863,87
38,7286,85
38,7287,97
38,7288,140
39,1212,159
39,1213,113
39,1214,139
39,1215,105
39,1216,83
39,1217,145
39,1218,150
39,1219,98
39,1220,118
39,1221,87
40,547,126
40,548,110
40,549,102
40,550,91
40,551,101
40,552,116
40,553,116
40,554,81
40,555,102
40,556,154
41,2294,135
41,2295,109
41,2296,117
41,2297,82
41,2298,153
41,2299,112
41,2300,91
41,2301,102
41,2302,91
41,2303,150
42,5241,126
42,5242,101
42,5243,125
43,9127,120
43,9128,154
43,9129,152
43,9130,87
43,9131,83
43,9132,116
43,9133,141
43,9134,157
